"Country","Region","Year","CO2","CO2CAPITA","ENERGY","ENERGYCAPITA","GDP","GDPCAPITA"
"Albania","Non-OECD Europe and Eurasia",1971,68.0914453887398,102.292770106393,64.2696797366058,96.5513881600655,53.2534800906442,80.0019145603051
"Albania","Non-OECD Europe and Eurasia",1972,78.3803292844649,114.862301541701,72.6429212810536,106.454428110042,58.0123017157656,85.0140150422299
"Albania","Non-OECD Europe and Eurasia",1973,69.1654220471678,98.9755081711103,65.5417539658785,93.7900501897442,64.3735836840401,92.1184020763779
"Albania","Non-OECD Europe and Eurasia",1974,72.4718187305321,101.368029007344,68.3141275067345,95.5525689849516,63.0301068306895,88.1616855967985
"Albania","Non-OECD Europe and Eurasia",1975,76.4709375839843,104.515580806053,74.4051182280754,101.692151191553,66.7368080284882,91.2115958376884
"Albania","Non-OECD Europe and Eurasia",1976,82.4442652779797,110.205083354502,81.951511523496,109.546408449667,71.4794431854969,95.5481617530412
"Albania","Non-OECD Europe and Eurasia",1977,87.4015781334673,114.2756512827,86.8677042801556,113.577622899313,76.0440271932664,99.4259019030496
"Albania","Non-OECD Europe and Eurasia",1978,99.0744260431674,126.912563680394,97.051780903921,124.321591516441,81.078018776303,103.859488588351
"Albania","Non-OECD Europe and Eurasia",1979,118.03118377633,148.192704764246,84.6415743789285,106.270762025798,85.7720945289738,107.690173688593
"Albania","Non-OECD Europe and Eurasia",1980,120.085876542557,147.725402767734,114.92068243041,141.371363453876,88.0867594690839,108.361219451676
"Albania","Non-OECD Europe and Eurasia",1981,103.04393837261,124.249972645184,100.890451960491,121.653307261238,93.1531239883457,112.323667846549
"Albania","Non-OECD Europe and Eurasia",1982,107.639787291223,127.087636791038,100.6996408261,118.893577369034,95.8886370993849,113.213344161522
"Albania","Non-OECD Europe and Eurasia",1983,117.432797155659,135.724896009371,106.416492068243,122.992619348915,96.9569439948203,112.059590334379
"Albania","Non-OECD Europe and Eurasia",1984,127.198544345903,143.974385421826,110.651750972763,125.245284244997,95.742958886371,108.370215516357
"Albania","Non-OECD Europe and Eurasia",1985,122.21629504311,135.489025904453,101.668662077222,112.709913068408,97.4425380382001,108.024830533411
"Albania","Non-OECD Europe and Eurasia",1986,122.594641747842,133.300888992775,109.009278659084,118.529109808935,102.945937196504,111.936253908339
"Albania","Non-OECD Europe and Eurasia",1987,127.541698057512,135.936952501635,106.360371146363,113.361394279538,102.136613790871,108.859613985276
"Albania","Non-OECD Europe and Eurasia",1988,126.284266687814,132.112152960804,109.072882370548,114.106481334179,100.679831660732,105.326100149212
"Albania","Non-OECD Europe and Eurasia",1989,120.6011357979,122.805431650464,108.26474109548,110.243557614884,110.585950145678,112.607192728886
"Albania","Non-OECD Europe and Eurasia",1990,100,100,100,100,100,100
"Albania","Non-OECD Europe and Eurasia",1991,67.1751587165219,67.5863932357538,70.0089793475007,70.4375620187435,70.4111362900615,70.8421808954491
"Albania","Non-OECD Europe and Eurasia",1992,37.6654550901633,38.1294582326353,50.8156240646513,51.4416249770585,65.3447717707996,66.1497581800488
"Albania","Non-OECD Europe and Eurasia",1993,34.8251849306317,35.4726937920628,49.7942232864412,50.7200532824705,71.6089349303982,72.9403684896867
"Albania","Non-OECD Europe and Eurasia",1994,35.833939121585,36.7163833829956,52.951960490871,54.255952036625,77.5493687277436,79.4590944538944
"Albania","Non-OECD Europe and Eurasia",1995,32.5713177987197,33.5827859486799,49.7381023645615,51.2826670239378,87.8601489155066,90.5885537908627
"Albania","Non-OECD Europe and Eurasia",1996,32.8321019310327,34.0653784871541,53.0829093085902,55.0768696014319,95.8562641631596,99.4569256011065
"Albania","Non-OECD Europe and Eurasia",1997,25.1541962401477,26.2648802545634,45.3008081412751,47.3010661881738,85.4807381029459,89.2551417231205
"Albania","Non-OECD Europe and Eurasia",1998,31.0050621869176,32.5706741477783,49.9438790781203,52.465813528214,93.1693104564584,97.8739288815528
"Albania","Non-OECD Europe and Eurasia",1999,51.482625992942,54.4301677834675,67.015863513918,70.8527318656315,105.746196179994,111.800497537356
