Country,CountryFinal
Africa,Africa
Total Africa,Africa
Albania,Albania
Algeria,Algeria
Angola,Angola
Argentina,Argentina
Armenia,Armenia
Asia (excl. China),Asia (excl. China)
Total Asia Pacific,Asia Pacific
Australia,Australia
Austria,Austria
Azerbaijan,Azerbaijan
Bahrain,Bahrain
Bangladesh,Bangladesh
Belarus,Belarus
Belgium,Belgium
Benin,Benin
Bolivia,Bolivia
Bosnia and Herzegovina,Bosnia & Herzegovina
Botswana,Botswana
Brazil,Brazil
Brunei Darussalam,Brunei
Bulgaria,Bulgaria
Cambodia,Cambodia
Cameroon,Cameroon
Canada,Canada
Chile,Chile
China,China
People's Rep. of China,China
"China (incl. Hong Kong, China)","China (incl. Hong Kong, China)"
Colombia,Colombia
Congo,Congo
Costa Rica,Costa Rica
Cote d'Ivoire,Cote d'Ivoire
Croatia,Croatia
Cuba,Cuba
Curacao,Curacao
Cyprus,Cyprus
Czech Republic,Czech Republic
Denmark,Denmark
Dominican Republic,Dominican Republic
Dem. Rep. of Congo,DR Congo
Ecuador,Ecuador
Egypt,Egypt
El Salvador,El Salvador
Eritrea,Eritrea
Estonia,Estonia
Ethiopia,Ethiopia
Total Europe & Eurasia,Europe & Eurasia
European Union - 28,European Union - 28
Finland,Finland
Former Soviet Union (if no detail),Former Soviet Union (if no detail)
Former Yugoslavia (if no detail),Former Yugoslavia (if no detail)
France,France
G7,G7
G8,G8
Gabon,Gabon
Georgia,Georgia
Germany,Germany
Ghana,Ghana
Gibraltar,Gibraltar
Greece,Greece
Guatemala,Guatemala
Haiti,Haiti
Honduras,Honduras
China Hong Kong SAR,Hong Kong
"Hong Kong, China",Hong Kong
Hungary,Hungary
Iceland,Iceland
India,India
Indonesia,Indonesia
Iran,Iran
Islamic Rep. of Iran,Iran
Iraq,Iraq
Ireland,Ireland
Israel,Israel
Italy,Italy
Jamaica,Jamaica
Japan,Japan
Jordan,Jordan
Kazakhstan,Kazakhstan
Kenya,Kenya
Korea,South Korea
Kosovo,Kosovo
Kuwait,Kuwait
Kyrgyzstan,Kyrgyzstan
Latvia,Latvia
Lebanon,Lebanon
Libya,Libya
Lithuania,Lithuania
Luxembourg,Luxembourg
FYR of Macedonia,"Macedonia, FYR of"
Malaysia,Malaysia
Malta,Malta
Mauritius,Mauritius
Mexico,Mexico
Middle East,Middle East
Total Middle East,Middle East
Republic of Moldova,Moldova
Mongolia,Mongolia
Montenegro,Montenegro
Morocco,Morocco
Mozambique,Mozambique
Myanmar,Myanmar
Namibia,Namibia
Nepal,Nepal
Netherlands,Netherlands
New Zealand,New Zealand
Nicaragua,Nicaragua
Niger,Niger
Nigeria,Nigeria
Non-OECD Americas,Non-OECD Americas
Non-OECD Europe and Eurasia,Non-OECD Europe and Eurasia
Total North America,North America
DPR of Korea,North Korea
Norway,Norway
OECD Americas,OECD Americas
OECD Asia Oceania,OECD Asia Oceania
OECD Europe,OECD Europe
Oman,Oman
Other Africa,Other Africa
Other Asia,Other Asia
Other Asia Pacific,Other Asia Pacific
Other Europe & Eurasia,Other Europe & Eurasia
Other Middle East,Other Middle East
Other Non-OECD Americas,Other Non-OECD Americas
Other S. & Cent. America,Other S. & Cent. America
Pakistan,Pakistan
Panama,Panama
Paraguay,Paraguay
Peru,Peru
Philippines,Philippines
Poland,Poland
Portugal,Portugal
Qatar,Qatar
Romania,Romania
Russian Federation,Russia
Total S. & Cent. America,S. & Cent. America
Saudi Arabia,Saudi Arabia
Senegal,Senegal
Serbia,Serbia
Singapore,Singapore
Slovak Republic,Slovakia
Slovakia,Slovakia
Slovenia,Slovenia
South Africa,South Africa
South Korea,South Korea
South Sudan,South Sudan
Spain,Spain
Sri Lanka,Sri Lanka
Sudan,Sudan
Suriname,Suriname
Sweden,Sweden
Switzerland,Switzerland
Syrian Arab Republic ,Syria
Chinese Taipei,Taiwan
Taiwan,Taiwan
Tajikistan,Tajikistan
Thailand,Thailand
Togo,Togo
Trinidad & Tobago,Trinidad
Trinidad and Tobago,Trinidad
Tunisia,Tunisia
Turkey,Turkey
Turkmenistan,Turkmenistan
United Arab Emirates,UAE
Ukraine,Ukraine
United Kingdom,United Kingdom
United Rep. of Tanzania,Tanzania
United States,United States
US,United States
Uruguay,Uruguay
USSR,USSR
Uzbekistan,Uzbekistan
Venezuela,Venezuela
Viet Nam,Vietnam
Vietnam,Vietnam
Total World,World
Yemen,Yemen
Zambia,Zambia
Zimbabwe,Zimbabwe
