Country,Region
Albania,Non-OECD Europe and Eurasia
Algeria,Africa
Angola,Africa
Argentina,Non-OECD Americas
Armenia,Non-OECD Europe and Eurasia
Australia,OECD
Austria,OECD
Azerbaijan,Non-OECD Europe and Eurasia
Bahrain,Middle East
Bangladesh,Asia
Belarus,Non-OECD Europe and Eurasia
Belgium,OECD
Benin,Africa
Bolivia,Non-OECD Americas
Bosnia & Herzegovina,Non-OECD Europe and Eurasia
Botswana,Africa
Brazil,Non-OECD Americas
Brunei,Asia
Bulgaria,Non-OECD Europe and Eurasia
Cambodia,Asia
Cameroon,Africa
Canada,OECD
Chile,OECD
Taiwan,Asia
Colombia,Non-OECD Americas
Congo,Africa
Costa Rica,Non-OECD Americas
Cote d'Ivoire,Africa
Croatia,Non-OECD Europe and Eurasia
Cuba,Non-OECD Americas
Curacao,Non-OECD Americas
Cyprus,Non-OECD Europe and Eurasia
Czech Republic,OECD
DR Congo,Africa
Denmark,OECD
Dominican Republic,Non-OECD Americas
North Korea,Asia
Ecuador,Non-OECD Americas
Egypt,Africa
El Salvador,Non-OECD Americas
Eritrea,Africa
Estonia,OECD
Ethiopia,Africa
Finland,OECD
France,OECD
"Macedonia, FYR of",Non-OECD Europe and Eurasia
Gabon,Africa
Georgia,Non-OECD Europe and Eurasia
Germany,OECD
Ghana,Africa
Gibraltar,Non-OECD Europe and Eurasia
Greece,OECD
Guatemala,Non-OECD Americas
Haiti,Non-OECD Americas
Honduras,Non-OECD Americas
Hong Kong,Asia
Hungary,OECD
Iceland,OECD
India,Asia
Indonesia,Asia
Iraq,Middle East
Ireland,OECD
Iran,Middle East
Israel,OECD
Italy,OECD
Jamaica,Non-OECD Americas
Japan,OECD
Jordan,Middle East
Kazakhstan,Non-OECD Europe and Eurasia
Kenya,Africa
South Korea,OECD
Kosovo,Non-OECD Europe and Eurasia
Kuwait,Middle East
Kyrgyzstan,Non-OECD Europe and Eurasia
Latvia,Non-OECD Europe and Eurasia
Lebanon,Middle East
Libya,Africa
Lithuania,Non-OECD Europe and Eurasia
Luxembourg,OECD
Malaysia,Asia
Malta,Non-OECD Europe and Eurasia
Mauritius,Africa
Mexico,OECD
Mongolia,Asia
Montenegro,Non-OECD Europe and Eurasia
Morocco,Africa
Mozambique,Africa
Myanmar,Asia
Namibia,Africa
Nepal,Asia
Netherlands,OECD
New Zealand,OECD
Nicaragua,Non-OECD Americas
Niger,Africa
Nigeria,Africa
Norway,OECD
Oman,Middle East
Pakistan,Asia
Panama,Non-OECD Americas
Paraguay,Non-OECD Americas
China,Asia
Peru,Non-OECD Americas
Philippines,Asia
Poland,OECD
Portugal,OECD
Qatar,Middle East
Moldova,Non-OECD Europe and Eurasia
Romania,Non-OECD Europe and Eurasia
Russia,Non-OECD Europe and Eurasia
Saudi Arabia,Middle East
Senegal,Africa
Serbia,Non-OECD Europe and Eurasia
Singapore,Asia
Slovakia,OECD
Slovenia,OECD
South Africa,Africa
South Sudan,Africa
Spain,OECD
Sri Lanka,Asia
Sudan,Africa
Suriname,Non-OECD Americas
Sweden,OECD
Switzerland,OECD
Syria,Middle East
Tajikistan,Non-OECD Europe and Eurasia
Thailand,Asia
Togo,Africa
Trinidad,Non-OECD Americas
Tunisia,Africa
Turkey,OECD
Turkmenistan,Non-OECD Europe and Eurasia
Ukraine,Non-OECD Europe and Eurasia
UAE,Middle East
United Kingdom,OECD
Tanzania,Africa
United States,OECD
Uruguay,Non-OECD Americas
Uzbekistan,Non-OECD Europe and Eurasia
Venezuela,Non-OECD Americas
Vietnam,Asia
Yemen,Middle East
Zambia,Africa
Zimbabwe,Africa
