"Country","Code","id","CO2","CO2CAPITA","ENERGY","ENERGYCAPITA","GDP","GDPCAPITA"
"Albania","ALB","008","Before 1990","Before 1990","Before 1990","Before 1990","Highest was 2014","Highest was 2014"
"Algeria","DZA","012","Highest was 2014","Highest was 2014","Highest was 2014","Highest was 2014","Highest was 2014","Highest was 2014"
"Angola","AGO","024","Highest was 2014","Highest was 2014","Highest was 2014","Before 1990","Highest was 2014","Highest was 2014"
"Argentina","ARG","032","Highest was 2014","Highest was 2014","Highest was 2014","Highest was 2014","Highest was 2014","From 2008 to 2013"
"Armenia","ARM","051","From 1990 to 1999","From 1990 to 1999","From 1990 to 1999","From 1990 to 1999","Highest was 2014","Highest was 2014"
"Australia","AUS","036","From 2008 to 2013","From 2000 to 2007","From 2008 to 2013","From 2008 to 2013","Highest was 2014","Highest was 2014"
"Austria","AUT","040","From 2000 to 2007","From 2000 to 2007","From 2008 to 2013","From 2000 to 2007","Highest was 2014","From 2008 to 2013"
"Azerbaijan","AZE","031","From 1990 to 1999","From 1990 to 1999","From 1990 to 1999","From 1990 to 1999","Highest was 2014","Highest was 2014"
"Bahrain","BHR","048","Highest was 2014","From 1990 to 1999","Highest was 2014","From 1990 to 1999","Highest was 2014","From 2000 to 2007"
"Bangladesh","BGD","050","Highest was 2014","Highest was 2014","Highest was 2014","Highest was 2014","Highest was 2014","Highest was 2014"
"Belarus","BLR","112","From 1990 to 1999","From 1990 to 1999","From 1990 to 1999","From 1990 to 1999","Highest was 2014","Highest was 2014"
"Belgium","BEL","056","Before 1990","Before 1990","From 2008 to 2013","From 2000 to 2007","Highest was 2014","From 2000 to 2007"
"Benin","BEN","204","Highest was 2014","Highest was 2014","Highest was 2014","Highest was 2014","Highest was 2014","Highest was 2014"
"Bolivia","BOL","068","Highest was 2014","Highest was 2014","Highest was 2014","Highest was 2014","Highest was 2014","Highest was 2014"
"Bosnia & Herzegovina","BIH","070","From 1990 to 1999","From 2008 to 2013","Highest was 2014","Highest was 2014","Highest was 2014","Highest was 2014"
"Botswana","BWA","072","Highest was 2014","Highest was 2014","Highest was 2014","Highest was 2014","Highest was 2014","Highest was 2014"
"Brazil","BRA","076","Highest was 2014","Highest was 2014","Highest was 2014","Highest was 2014","Highest was 2014","From 2008 to 2013"
"Brunei","BRN","096","From 2008 to 2013","From 2000 to 2007","From 2008 to 2013","From 2008 to 2013","From 2008 to 2013","Before 1990"
"Bulgaria","BGR","100","Before 1990","Before 1990","Before 1990","Before 1990","Highest was 2014","Highest was 2014"
"Cambodia","KHM","116","Highest was 2014","Highest was 2014","Highest was 2014","Highest was 2014","Highest was 2014","Highest was 2014"
"Cameroon","CMR","120","Highest was 2014","Highest was 2014","Highest was 2014","Before 1990","Highest was 2014","Before 1990"
"Canada","CAN","124","From 2000 to 2007","Before 1990","Highest was 2014","From 2000 to 2007","Highest was 2014","Highest was 2014"
"Chile","CHL","152","From 2008 to 2013","From 2008 to 2013","From 2008 to 2013","From 2008 to 2013","Highest was 2014","Highest was 2014"
"China","CHN","156","Highest was 2014","Highest was 2014","Highest was 2014","Highest was 2014","Highest was 2014","Highest was 2014"
"Colombia","COL","170","Highest was 2014","From 1990 to 1999","Highest was 2014","From 1990 to 1999","Highest was 2014","Highest was 2014"
"Congo","COG","178","Highest was 2014","Highest was 2014","Highest was 2014","From 2008 to 2013","Highest was 2014","Before 1990"
"Costa Rica","CRI","188","Highest was 2014","From 2000 to 2007","Highest was 2014","From 2008 to 2013","Highest was 2014","Highest was 2014"
"Cote d'Ivoire","CIV","384","Highest was 2014","Before 1990","Highest was 2014","Highest was 2014","Highest was 2014","Before 1990"
"Croatia","HRV","191","From 2000 to 2007","From 2000 to 2007","From 2000 to 2007","From 2000 to 2007","From 2008 to 2013","From 2008 to 2013"
"Cuba","CUB","192","Before 1990","Before 1990","Before 1990","Before 1990","Highest was 2014","Highest was 2014"
"Curacao","CUW","531","Before 1990","Before 1990","Before 1990","Before 1990","From 2008 to 2013","From 2008 to 2013"
"Cyprus","CYP","196","From 2008 to 2013","From 2000 to 2007","From 2008 to 2013","From 2008 to 2013","From 2008 to 2013","From 2008 to 2013"
"Czech Republic","CZE","203","Before 1990","Before 1990","Before 1990","Before 1990","From 2008 to 2013","From 2008 to 2013"
"Denmark","DNK","208","From 1990 to 1999","From 1990 to 1999","From 1990 to 1999","From 1990 to 1999","From 2000 to 2007","From 2000 to 2007"
"DR Congo","COD","180","Highest was 2014","Before 1990","Highest was 2014","Highest was 2014","Highest was 2014","Before 1990"
"Ecuador","ECU","218","Highest was 2014","Highest was 2014","Highest was 2014","Highest was 2014","Highest was 2014","Highest was 2014"
"Egypt","EGY","818","From 2008 to 2013","From 2008 to 2013","From 2008 to 2013","From 2008 to 2013","Highest was 2014","From 2008 to 2013"
"El Salvador","SLV","222","From 2000 to 2007","From 2000 to 2007","From 2000 to 2007","From 2000 to 2007","Highest was 2014","Highest was 2014"
"Eritrea","ERI","232","From 1990 to 1999","From 1990 to 1999","From 1990 to 1999","From 1990 to 1999","Highest was 2014","From 1990 to 1999"
"Estonia","EST","233","From 1990 to 1999","From 1990 to 1999","From 1990 to 1999","From 1990 to 1999","From 2000 to 2007","From 2000 to 2007"
"Ethiopia","ETH","231","Highest was 2014","Highest was 2014","Highest was 2014","Highest was 2014","Highest was 2014","Highest was 2014"
"Finland","FIN","246","From 2000 to 2007","From 2000 to 2007","From 2000 to 2007","From 2000 to 2007","From 2008 to 2013","From 2008 to 2013"
"France","FRA","250","Before 1990","Before 1990","From 2000 to 2007","From 2000 to 2007","Highest was 2014","From 2000 to 2007"
"Gabon","GAB","266","Highest was 2014","Before 1990","From 2008 to 2013","From 2008 to 2013","Highest was 2014","Before 1990"
"Georgia","GEO","268","From 1990 to 1999","From 1990 to 1999","From 1990 to 1999","From 1990 to 1999","From 1990 to 1999","From 1990 to 1999"
"Germany","DEU","276","Before 1990","Before 1990","Before 1990","Before 1990","Highest was 2014","Highest was 2014"
"Ghana","GHA","288","From 2008 to 2013","From 2008 to 2013","Highest was 2014","From 1990 to 1999","Highest was 2014","Highest was 2014"
"Gibraltar","GIB","292","Highest was 2014","Highest was 2014","Highest was 2014","Highest was 2014","Highest was 2014","From 2000 to 2007"
"Greece","GRC","300","From 2000 to 2007","From 2000 to 2007","From 2008 to 2013","From 2000 to 2007","From 2000 to 2007","From 2000 to 2007"
"Guatemala","GTM","320","Highest was 2014","Highest was 2014","Highest was 2014","Highest was 2014","Highest was 2014","Highest was 2014"
"Haiti","HTI","332","Highest was 2014","Highest was 2014","Highest was 2014","From 2008 to 2013","Highest was 2014","Before 1990"
"Honduras","HND","340","Highest was 2014","From 2000 to 2007","Highest was 2014","Highest was 2014","Highest was 2014","Highest was 2014"
"Hong Kong","HKG","344","Highest was 2014","From 1990 to 1999","From 1990 to 1999","From 1990 to 1999","Highest was 2014","Highest was 2014"
"Hungary","HUN","348","Before 1990","Before 1990","Before 1990","Before 1990","From 2008 to 2013","Highest was 2014"
